Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.15     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > >::difference_type __gnu_cxx::operator-<Range*, std::vector<Range, std::allocator<Range> > >(__gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > > const&, __gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > > const&)
  0.00      0.15     0.00        6     0.00    10.91  std::vector<Range, std::allocator<Range> >::_M_check_len(unsigned long, char const*) const
  0.00      0.15     0.00        6     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_M_allocate(unsigned long)
  0.00      0.15     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<Range> >::deallocate(std::allocator<Range>&, Range*, unsigned long)
  0.00      0.15     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<Range> >::allocate(std::allocator<Range>&, unsigned long)
  0.00      0.15     0.00        6     0.00    24.62  void std::vector<Range, std::allocator<Range> >::_M_realloc_insert<Range const&>(__gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > >, Range const&)
  0.00      0.15     0.00        6     0.00     0.00  std::vector<Range, std::allocator<Range> >::end()
  0.00      0.15     0.00        6     0.00     0.00  std::vector<Range, std::allocator<Range> >::begin()
  0.00      0.15     0.00        6     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.15     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.15     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.15     0.00        2     0.00     0.00  std::_Head_base<0ul, Interconnect*, false>::_M_head(std::_Head_base<0ul, Interconnect*, false>&)
  0.00      0.15     0.00        2     0.00     0.00  std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> >::_M_head(std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> >&)
  0.00      0.15     0.00        2     0.00     0.00  std::pointer_traits<char const*>::pointer_to(char const&)
  0.00      0.15     0.00        2     0.00     0.00  std::__uniq_ptr_impl<Interconnect, std::default_delete<Interconnect> >::_M_ptr()
  0.00      0.15     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      0.15     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.15     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      0.15     0.00        2     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.15     0.00        2     0.00     0.00  Interconnect*& std::__get_helper<0ul, Interconnect*, std::default_delete<Interconnect> >(std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> >&)
  0.00      0.15     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<Interconnect*, std::default_delete<Interconnect> > >::type& std::get<0ul, Interconnect*, std::default_delete<Interconnect> >(std::tuple<Interconnect*, std::default_delete<Interconnect> >&)
  0.00      0.15     0.00        2     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.15     0.00        2     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.15     0.00        1     0.00   181.72  Interconnect::Interconnect()
  0.00      0.15     0.00        1     0.00    13.71  Interconnect::~Interconnect()
  0.00      0.15     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Range>::new_allocator()
  0.00      0.15     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Range>::~new_allocator()
  0.00      0.15     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.15     0.00        1     0.00    13.71  std::default_delete<Interconnect>::operator()(Interconnect*) const
  0.00      0.15     0.00        1     0.00     0.00  std::allocator<Range>::allocator()
  0.00      0.15     0.00        1     0.00     0.00  std::allocator<Range>::~allocator()
  0.00      0.15     0.00        1     0.00     0.00  std::_Head_base<0ul, Interconnect*, false>::_Head_base()
